"nodetype","primitivetype","nodegroup","precedence","literal","literalpattern","nodepattern","prologue","epilogue","growfrom","growinto","nodeseverity"
"null","","","","null","","","","","","",""
"true","","","","true","","","","","","",""
"false","","","","false","","","","","","",""
"leftBracket","","","","[","","","","","","",""
"rightBracket","","","","]","","","","","","",""
"leftBrace","","","","{","","","","","","",""
"rightBrace","","","","}","","","","","","",""
"dot","","","",".","","","","","","",""
"comma","","","",",","","","","","","",""
"colon","","","",":","","","","","","",""
"boolean","","","","","true | false","","","","","",""
"number","","","","","-? (positiveInteger fraction? | 0 fraction) | 0","","","","","",""
"fraction","","","","","dot digit* nonZeroDigit","","","","","",""
"positiveInteger","","","","","nonZeroDigit digit*","","","","","",""
"digit","","","","","[0-9]","","","","","",""
"nonZeroDigit","","","","","[1-9]","","","","","",""
"string","","","","",""" (unescaped | \\ (shortcutEscape | codepointEscape) )* ""","","","","","",""
"unescaped","","","","","[\x20-\x21 \x23-\x5B \x5D-\U0010FFFF]","","","","","",""
"shortcutEscape","","","","","["" \\ b t n f r]","","","","","",""
"codepointEscape","","","","","u[0-9 a-f]{4}","","","","","",""
"value","","","","","","[object array string number boolean null]","","","","",""
"array","","","","","","leftBracket (value (comma value)*)? rightBracket","","","","",""
"member","","","","","","string colon value","","","","",""
"object","","","","","","leftBrace (member (comma member)* )? rightBrace","","","","",""
