"errortype","severity","message","sigil"
"INFIX_OPERATOR_DOES_NOT_EXIST","ERROR","unknown operator: LeftOperandType OperatorSymbol RightOperandType",""
"PREFIX_OPERATOR_DOES_NOT_EXIST","ERROR","unknown operator: OperatorSymbolOperandType",""
"INFIX_OPERATOR_TYPE_MISMATCH","ERROR","type mismatch: LeftOperandType OperatorSymbol RightOperandType",""
"ADD_OPERATOR_TYPE_MISMATCH","ERROR","type mismatch: LeftOperandType OperatorSymbol RightOperandType",""
"UNUSABLE_HASH_KEY","ERROR","unusable as hash key: HashKeyType",""
"INDEX_OPERATOR_NOT_SUPPORTED","ERROR","index operator not supported: OperandType",""
"UNDEFINED_VARIABLE","ERROR","identifier not found: IdentifierName",""
"UNDEFINED_GLOBAL_VARIABLE","ERROR","identifier not found: IdentifierName",""
"ARGUMENT_NOT_SUPPORTED","ERROR","argument to `FunctionName` not supported, got ArgumentType",""
"WRONG_NUMBER_OF_ARGUMENTS","ERROR","wrong number of arguments. got=Got, want=Want",""
"UNEXPECTED_ARGUMENT","ERROR","argument to `FunctionName` must be Want, got Got",""
"REDECLARED_VARIABLE","NOTICE","",""
